,President,Sentiment
0,George Washington,0.1773809523809524
1,John Adams,0.18644444444444444
2,Thomas Jefferson,0.15458333333333335
3,James Madison,0.16704545454545452
4,James Monroe,0.17609999999999998
5,John Quincy Adams,0.1491111111111111
6,Andrew Jackson,0.14019230769230775
7,Martin Van Buren,0.14529999999999998
8,John Tyler,0.13383333333333336
9,William Harrison,0.179
10,James K. Polk,0.13648
11,Zachary Taylor,0.17600000000000002
12,Millard Fillmore,0.14857142857142858
13,Abraham Lincoln,0.14959999999999998
14,Franklin Pierce,0.14200000000000002
15,James Buchanan,0.12821428571428573
16,Andrew Johnson,0.11790322580645159
17,Ulysses S. Grant,0.14059374999999996
18,Rutherford B. Hayes,0.138125
19,James A. Garfield,0.209
20,Chester A. Arthur,0.13963636363636364
21,Grover Cleveland,0.14306666666666665
22,Benjamin Harrison,0.14847826086956517
23,William McKinley,0.15500000000000003
24,Theodore Roosevelt,0.14863636363636362
25,William Taft,0.13549999999999998
26,Woodrow Wilson,0.16109090909090906
27,Warren G. Harding,0.1831111111111111
28,Calvin Coolidge,0.18066666666666667
29,Herbert Hoover,0.14053333333333334
30,Franklin D. Roosevelt,0.15453061224489795
31,Harry S. Truman,0.1972307692307692
32,Richard M. Nixon,0.17021739130434782
33,Dwight D. Eisenhower,0.2187142857142857
34,John F. Kennedy,0.1740909090909091
35,Lyndon B. Johnson,0.16119718309859157
36,Ronald Reagan,0.1806271186440678
37,Gerald Ford,0.199
38,Jimmy Carter,0.1860909090909091
39,George H. W. Bush,0.18817391304347825
40,Bill Clinton,0.1745897435897436
41,George W. Bush,0.19605128205128208
42,Barack Obama,0.18324
43,Donald Trump,0.20003333333333337
